SFTAZ,COUNTY,DISTRICT,MTCTAZ,HHLDS,POP,POPD,EMPRES,EMPRESD,CIE,MED,MIPS,PDR,RETAIL,VISITOR,TOTALEMP,EMPD,NETCON,CROSSING,SAFETY,VITALITY,TOPOLOGY,AREATYPE,SUPERDST,MTCEMP,MTCPOP,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,AVGINCQ1,AVGINCQ2,AVGINCQ3,AVGINCQ4,AVGHHINC,SHPOP62P,TOTACRE,RETEMP,SEREMP,OTHEMP,AGREMP,MFGEMP,TRDEMP,SERVICE,PKDISTNO,PKDIST,FREEPARK,SUBPARK,PAIDPARK,PPAYING,PRKAVIND,ONSTREET,OFSTREET,PRKCSTWH,PRKCSTOH,TOTPARK,COLLENROLL,HIGHENROLL,GRADENROLL,SFDU,MFDU,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,HHPOP,GQPOP,DIST15,DIST22,DIST40,DIST51,STATE,CNTY_ID,CNTY_NAM,PUMA,POWPUMA,PLACE_ID,PLACE_NAM,DIST_PLC_1,DIST_PLC_2,DIST_PLC_N,DIST22NAME,DIST40NAME,DISTPLC2_S
1,1,8,156,317,1353,63.31305569,546,25.54983622,8,2,28,17,8,6,69,3.228825456,2,2,1,1,2,3,3,75,2882,65,133,57,61,0,0,0,0,0,0.14,21.37,0,0,0,0,0,0,16,24,26,0.333,0.167,0.5,1,1.889,0.866,0.134,0,0,406,0,0,0,272,45,126,291,441,338,157,1348,5,9,5,5,31,6,6075,SanFrancisco,602207,6022,667000,SanFrancisco,11,1,San Francisco,5,5,1
2,1,8,164,315,1246,29.73747017,588,14.03341289,7,5,10,9,29,0,60,1.431980907,2,1,2,2,1,3,3,476,7654,67,82,93,73,0,0,0,0,0,0.2,41.9,0,0,0,0,0,0,12,21,25,0.75,0,0.25,1,2.25,1,0,0,0,419,0,0,0,256,59,86,204,385,366,205,1241,5,10,14,5,36,6,6075,SanFrancisco,602206,6022,667000,SanFrancisco,11,1,San Francisco,14,5,1
3,1,8,157,447,1506,48.20742638,397,12.70806658,9,0,29,27,25,0,90,2.880921895,1,2,1,1,1,3,3,132,3254,317,68,36,26,0,0,0,0,0,0.11,31.24,0,0,0,0,0,0,9,24,26,0.333,0.167,0.5,1,1.889,1,0,0,0,22,0,0,0,154,293,238,433,436,268,131,1502,4,9,5,5,31,6,6075,SanFrancisco,602207,6022,667000,SanFrancisco,11,1,San Francisco,5,5,1
4,1,8,164,389,1542,42.08515284,728,19.86899563,7,4,13,25,13,1,63,1.719432314,2,1,2,2,1,3,3,476,7654,83,101,115,90,0,0,0,0,0,0.2,36.64,0,0,0,0,0,0,12,24,25,0.333,0.167,0.5,1,1.889,1,0,0,0,431,0,0,0,316,73,107,252,477,452,254,1535,7,10,14,5,34,6,6075,SanFrancisco,602206,6022,667000,SanFrancisco,11,1,San Francisco,14,5,1
5,1,8,156,383,1637,67.00777732,661,27.05689726,15,1,20,12,5,0,53,2.169463774,2,2,1,1,2,3,3,75,2882,79,161,69,74,0,0,0,0,0,0.14,24.43,0,0,0,0,0,0,16,24,26,0.333,0.167,0.5,1,1.889,0.866,0.134,0,0,465,0,0,0,329,54,152,352,533,409,190,1631,6,9,5,5,31,6,6075,SanFrancisco,602207,6022,667000,SanFrancisco,11,1,San Francisco,5,5,1
6,1,8,154,538,2088,40.78125,967,18.88671875,70,38,42,124,41,7,322,6.2890625,2,2,1,1,2,3,3,116,6104,181,127,182,48,0,0,0,0,0,0.19,51.2,0,0,0,0,0,0,115,24,26,0.333,0.167,0.5,1,1.889,1,0,0,0,416,0,0,2088,345,193,144,359,631,627,327,2076,12,9,5,5,31,6,6075,SanFrancisco,602207,6022,667000,SanFrancisco,11,1,San Francisco,5,5,1
7,1,8,157,309,1039,56.86918446,274,14.99726327,29,18,0,6,0,0,53,2.900930487,1,2,1,1,1,3,3,132,3254,219,47,25,18,0,0,0,0,0,0.11,18.27,0,0,0,0,0,0,47,24,26,0.333,0.167,0.5,1,1.889,1,0,0,0,13,0,0,0,106,203,164,299,301,185,90,1036,3,9,5,5,31,6,6075,SanFrancisco,602207,6022,667000,SanFrancisco,11,1,San Francisco,5,5,1
8,1,8,159,337,1163,33.16224693,490,13.97205589,54,2,10,16,15,0,97,2.765896778,2,1,2,2,2,3,3,192,5047,82,91,91,73,0,0,0,0,0,0.21,35.07,0,0,0,0,0,0,56,24,25,0.333,0.167,0.5,1,1.889,1,0,0,0,426,0,0,1163,265,72,90,185,346,337,205,1161,2,10,14,5,37,6,6075,SanFrancisco,602207,6022,667000,SanFrancisco,11,1,San Francisco,14,5,1
9,1,8,164,371,1470,49,694,23.13333333,56,24,38,27,65,5,215,7.166666667,2,1,2,2,1,3,3,476,7654,79,96,109,86,0,0,0,0,0,0.2,30,0,0,0,0,0,0,85,24,25,0.333,0.167,0.5,1,1.889,1,0,0,0,352,0,0,0,302,69,102,240,455,431,242,1464,6,10,14,5,34,6,6075,SanFrancisco,602206,6022,667000,SanFrancisco,11,1,San Francisco,14,5,1
10,1,8,167,402,1516,37.15686275,628,15.39215686,18,14,12,31,18,2,95,2.328431373,2,2,1,2,1,3,3,347,6749,114,96,130,61,0,0,0,0,0,0.18,40.8,0,0,0,0,0,0,34,21,24,0.75,0,0.25,1,2.25,1,0,0,0,570,1516,0,0,356,46,115,284,472,422,223,1486,30,10,6,5,36,6,6075,SanFrancisco,602206,6022,667000,SanFrancisco,11,1,San Francisco,6,5,1
11,1,8,162,298,1146,54.4935806,466,22.15882073,8,4,49,15,5,0,81,3.851640514,2,1,2,2,2,3,3,444,4924,87,87,64,60,0,0,0,0,0,0.2,21.03,0,0,0,0,0,0,12,24,25,0.333,0.167,0.5,1,1.889,1,0,0,0,574,0,0,0,247,51,81,185,345,342,193,1143,3,10,14,5,37,6,6075,SanFrancisco,602207,6022,667000,SanFrancisco,11,1,San Francisco,14,5,1
12,1,8,157,470,1580,81.4853017,418,21.55750387,28,0,32,0,7,0,67,3.455389376,1,2,1,1,1,3,3,132,3254,333,71,38,27,0,0,0,0,0,0.11,19.39,0,0,0,0,0,0,28,24,26,0.333,0.167,0.5,1,1.889,1,0,0,0,14,0,0,0,162,308,250,454,457,282,137,1577,3,9,5,5,31,6,6075,SanFrancisco,602207,6022,667000,SanFrancisco,11,1,San Francisco,5,5,1
13,1,8,164,376,1488,50.4577823,702,23.80467955,249,183,589,549,183,92,1845,62.56358087,2,1,2,2,1,3,3,476,7654,80,98,111,87,0,0,0,0,0,0.2,29.49,0,0,0,0,0,0,524,24,25,0.333,0.167,0.5,1,1.889,1,0,0.272,0.766,700,0,0,0,306,70,103,243,460,437,245,1481,7,10,14,5,34,6,6075,SanFrancisco,602206,6022,667000,SanFrancisco,11,1,San Francisco,14,5,1
14,1,8,159,340,1174,44.89483748,494,18.89101338,6,4,21,16,12,1,60,2.294455067,2,1,2,2,2,3,3,192,5047,83,92,91,74,0,0,0,0,0,0.21,26.15,0,0,0,0,0,0,11,24,25,0.333,0.167,0.5,1,1.889,1,0,0,0,359,0,0,0,267,73,91,187,349,340,207,1172,2,10,14,5,37,6,6075,SanFrancisco,602207,6022,667000,SanFrancisco,11,1,San Francisco,14,5,1
15,1,8,154,625,2426,56.64254028,1124,26.24328742,58,1,63,43,70,0,235,5.486808312,2,2,1,1,2,3,3,116,6104,211,148,211,55,0,0,0,0,0,0.19,42.83,0,0,0,0,0,0,59,24,26,0.333,0.167,0.5,1,1.889,1,0,0,0,398,0,0,0,401,224,167,417,733,729,380,2413,13,9,5,5,31,6,6075,SanFrancisco,602207,6022,667000,SanFrancisco,11,1,San Francisco,5,5,1
16,1,6,168,952,2939,35.61992486,1280,15.51327112,78,7,48,15,60,0,208,2.520906557,1,1,1,1,1,3,4,453,10289,279,231,285,157,0,0,0,0,0,0.21,82.51,0,0,0,0,0,0,85,21,24,0.75,0,0.25,1,2.25,1,0,0,0,583,0,0,0,839,113,176,459,868,921,515,2915,24,10,6,6,36,6,6075,SanFrancisco,602206,6022,667000,SanFrancisco,11,1,San Francisco,6,6,1
17,1,8,155,567,2252,53.28916233,904,21.39138665,29,4,68,11,11,0,123,2.910553715,2,2,1,1,2,3,3,283,4086,164,177,131,94,0,0,0,0,0,0.2,42.26,0,0,0,0,0,0,33,24,26,0.333,0.167,0.5,1,1.889,1,0,0,0,627,0,0,0,534,33,143,425,651,649,384,2252,0,9,5,5,31,6,6075,SanFrancisco,602207,6022,667000,SanFrancisco,11,1,San Francisco,5,5,1
18,1,8,155,485,1929,48.98425597,775,19.68004063,72,8,23,23,9,0,135,3.42813611,2,2,1,1,2,3,3,283,4086,141,152,112,81,0,0,0,0,0,0.2,39.38,0,0,0,0,0,0,80,24,26,0.333,0.167,0.5,1,1.889,1,0,0,0,1417,0,0,1929,457,28,122,364,558,556,329,1929,0,9,5,5,31,6,6075,SanFrancisco,602207,6022,667000,SanFrancisco,11,1,San Francisco,5,5,1
19,1,8,162,686,2638,58.89707524,1070,23.889261,25,30,37,106,47,2,247,5.5146238,2,1,2,2,2,3,3,444,4924,199,201,147,138,0,0,0,0,0,0.2,44.79,0,0,0,0,0,0,57,24,25,0.333,0.167,0.5,1,1.889,0.992,0.009,0,0,822,0,0,0,568,118,187,425,794,787,445,2631,7,10,14,5,37,6,6075,SanFrancisco,602207,6022,667000,SanFrancisco,11,1,San Francisco,14,5,1
20,1,8,167,396,1491,31.7978247,617,13.15845596,27,1,26,16,6,0,76,1.620814673,2,2,1,2,1,3,3,347,6749,113,95,128,61,0,0,0,0,0,0.18,46.89,0,0,0,0,0,0,28,21,24,0.75,0,0.25,1,2.25,1,0,0,0,222,0,0,1491,351,45,114,279,464,415,219,1461,30,10,6,5,36,6,6075,SanFrancisco,602206,6022,667000,SanFrancisco,11,1,San Francisco,6,5,1
21,1,8,162,339,1304,51.48045795,529,20.88432689,16,20,26,36,113,2,213,8.409001184,2,1,2,2,2,3,3,444,4924,99,99,73,68,0,0,0,0,0,0.2,25.33,0,0,0,0,0,0,38,24,25,0.333,0.167,0.5,1,1.889,1,0,0,0,964,0,0,0,281,58,92,210,392,389,220,1300,4,10,14,5,35,6,6075,SanFrancisco,602207,6022,667000,SanFrancisco,11,1,San Francisco,14,5,1
22,1,8,164,548,2172,42.51321198,1026,20.08220787,26,13,14,14,35,3,105,2.055196712,2,1,2,2,1,3,3,476,7654,117,142,162,127,0,0,0,0,0,0.2,51.09,0,0,0,0,0,0,42,24,25,0.333,0.167,0.5,1,1.889,1,0,0,0,329,0,0,0,446,102,150,355,672,637,357,2163,9,10,14,5,34,6,6075,SanFrancisco,602206,6022,667000,SanFrancisco,11,1,San Francisco,14,5,1
23,1,8,153,444,1669,46.46436526,831,23.13474388,12,0,49,14,9,0,84,2.338530067,2,3,2,2,1,3,3,126,4481,120,106,130,89,0,0,0,0,0,0.18,35.92,0,0,0,0,0,0,12,24,26,0.333,0.167,0.5,1,1.889,1,0,0,0,521,0,0,0,383,61,118,300,507,500,244,1656,13,9,5,5,31,6,6075,SanFrancisco,602207,6022,667000,SanFrancisco,11,1,San Francisco,5,5,1
24,1,6,168,445,1373,31.53422141,598,13.73449701,11,1,19,22,27,0,80,1.837390905,2,2,2,1,2,3,4,453,10289,131,108,133,73,0,0,0,0,0,0.21,43.54,0,0,0,0,0,0,12,21,24,0.75,0,0.25,1,2.25,1,0,0,0,492,0,0,0,392,53,82,214,406,430,240,1362,11,10,6,6,36,6,6075,SanFrancisco,602206,6022,667000,SanFrancisco,11,1,San Francisco,6,6,1
25,1,6,168,446,1377,34.94037046,600,15.22456229,27,3,28,8,7,1,74,1.877696016,2,2,2,1,2,3,4,453,10289,131,108,134,74,0,0,0,0,0,0.21,39.41,0,0,0,0,0,0,31,21,24,0.75,0,0.25,1,2.25,0.924,0.076,0,0,432,0,0,0,393,53,83,215,407,431,241,1366,11,10,6,6,36,6,6075,SanFrancisco,602206,6022,667000,SanFrancisco,11,1,San Francisco,6,6,1
26,1,8,167,222,838,41.81636727,346,17.26546906,0,0,17,10,2,0,29,1.447105788,2,2,1,2,1,3,3,347,6749,63,53,72,34,0,0,0,0,0,0.18,20.04,0,0,0,0,0,0,0,21,24,0.75,0,0.25,1,2.25,1,0,0,0,416,0,0,0,197,25,64,157,261,233,123,819,19,10,6,5,36,6,6075,SanFrancisco,602206,6022,667000,SanFrancisco,11,1,San Francisco,6,5,1
27,1,8,153,418,1571,36.1731522,782,18.00598665,1,0,5,62,1,0,69,1.588763528,2,3,2,2,1,3,3,126,4481,113,99,122,83,0,0,0,0,0,0.18,43.43,0,0,0,0,0,0,1,24,26,0.333,0.167,0.5,1,1.889,1,0,0,0,377,0,0,0,361,57,111,283,477,471,229,1558,13,9,5,5,31,6,6075,SanFrancisco,602207,6022,667000,SanFrancisco,11,1,San Francisco,5,5,1
28,1,8,167,452,1702,31.95644011,705,13.23695081,23,5,16,7,13,9,73,1.370634623,2,2,1,2,1,3,3,347,6749,129,108,146,69,0,0,0,0,0,0.18,53.26,0,0,0,0,0,0,37,21,24,0.75,0,0.25,1,2.25,1,0,0,0,394,0,0,0,401,51,130,319,530,473,250,1668,34,10,6,5,36,6,6075,SanFrancisco,602206,6022,667000,SanFrancisco,11,1,San Francisco,6,5,1
29,1,8,167,395,1491,45.16813087,617,18.69130566,11,0,26,12,5,2,56,1.69645562,2,2,1,2,1,3,3,347,6749,112,95,127,60,0,0,0,0,0,0.18,33.01,0,0,0,0,0,0,13,21,24,0.75,0,0.25,1,2.25,1,0,0,0,1142,0,0,0,350,45,114,279,464,415,219,1459,32,10,6,5,36,6,6075,SanFrancisco,602206,6022,667000,SanFrancisco,11,1,San Francisco,6,5,1
30,1,8,153,285,1071,49.53746531,533,24.65309898,2,0,25,15,9,0,51,2.35892692,2,3,2,2,1,3,3,126,4481,77,68,83,57,0,0,0,0,0,0.18,21.62,0,0,0,0,0,0,2,24,26,0.333,0.167,0.5,1,1.889,1,0,0,0,78,0,0,0,246,39,76,193,325,321,156,1063,8,9,5,5,31,6,6075,SanFrancisco,602207,6022,667000,SanFrancisco,11,1,San Francisco,5,5,1
31,1,6,189,376,892,39.98207082,428,19.18422232,2,0,25,65,5,0,97,4.347826087,2,2,2,2,2,2,4,355,8044,134,100,88,54,0,0,0,0,0,0.2,22.31,0,0,0,0,0,0,2,21,19,0.75,0,0.25,1,2.25,1,0,0,0,440,0,0,0,86,290,58,107,352,224,151,892,0,12,7,6,48,6,6075,SanFrancisco,602206,6022,667000,SanFrancisco,11,1,San Francisco,7,6,1
32,1,8,165,728,2651,52.96703297,1168,23.33666334,43,41,35,30,86,9,244,4.875124875,2,2,2,2,2,3,3,2282,6959,194,189,184,161,0,0,0,0,0,0.23,50.05,0,0,0,0,0,0,93,24,25,0.333,0.167,0.5,1,1.889,1,0,0,0,534,0,0,0,550,178,165,367,809,790,520,2640,11,10,14,5,34,6,6075,SanFrancisco,602206,6022,667000,SanFrancisco,11,1,San Francisco,14,5,1
33,1,8,161,521,1972,50.70712265,875,22.49935716,80,0,39,44,12,0,175,4.499871432,2,2,2,2,2,3,3,236,4363,151,160,113,97,0,0,0,0,0,0.17,38.89,0,0,0,0,0,0,80,24,25,0.333,0.167,0.5,1,1.889,1,0,0,0,458,0,0,1972,444,77,147,358,617,575,275,1970,2,10,14,5,35,6,6075,SanFrancisco,602207,6022,667000,SanFrancisco,11,1,San Francisco,14,5,1
34,1,6,189,1085,2576,67.48755567,1238,32.43384857,3,7,40,6,51,0,107,2.803248625,2,2,2,2,2,2,4,355,8044,387,289,253,155,0,0,0,0,0,0.2,38.17,0,0,0,0,0,0,10,21,19,0.75,0,0.25,1,2.25,1,0,0,0,448,0,0,0,248,837,167,309,1016,647,436,2576,0,12,7,6,48,6,6075,SanFrancisco,602206,6022,667000,SanFrancisco,11,1,San Francisco,7,6,1
35,1,8,166,390,1409,45.23274478,637,20.4494382,5,0,46,29,2,0,82,2.632423756,2,2,1,2,2,3,3,813,9868,85,123,105,77,0,0,0,0,0,0.19,31.15,0,0,0,0,0,0,5,21,24,0.75,0,0.25,1,2.25,1,0,0,0,823,0,0,0,317,73,100,221,452,412,223,1396,13,10,6,5,36,6,6075,SanFrancisco,602206,6022,667000,SanFrancisco,11,1,San Francisco,6,5,1
36,1,8,152,162,524,35.09711989,241,16.14199598,0,0,11,9,1,0,21,1.406563965,2,3,2,1,2,3,3,335,4308,36,34,51,40,0,0,0,0,0,0.23,14.93,0,0,0,0,0,0,0,24,26,0.333,0.167,0.5,1,1.889,1,0,0,0,155,0,524,0,153,9,36,85,145,155,104,515,9,9,5,5,31,6,6075,SanFrancisco,602207,6022,667000,SanFrancisco,11,1,San Francisco,5,5,1
37,1,8,160,737,2771,52.17473169,1279,24.08209377,5,3,40,34,11,0,93,1.751082659,2,2,2,2,2,3,3,159,4960,185,183,233,136,0,0,0,0,0,0.19,53.11,0,0,0,0,0,0,8,24,25,0.333,0.167,0.5,1,1.889,1,0,0,0,833,0,0,0,666,71,212,479,860,795,425,2761,10,10,14,5,35,6,6075,SanFrancisco,602207,6022,667000,SanFrancisco,11,1,San Francisco,14,5,1
38,1,8,165,370,1347,46.81960375,594,20.64650678,1,0,18,12,3,0,34,1.181786583,2,2,2,2,2,3,3,2282,6959,98,96,94,82,0,0,0,0,0,0.23,28.77,0,0,0,0,0,0,1,24,25,0.333,0.167,0.5,1,1.889,1,0,0,0,926,0,0,0,279,91,84,187,411,401,264,1342,5,10,14,5,34,6,6075,SanFrancisco,602206,6022,667000,SanFrancisco,11,1,San Francisco,14,5,1
39,1,8,161,670,2533,57.95012583,1125,25.73781743,15,25,56,18,32,2,148,3.385952871,2,2,2,2,2,3,3,236,4363,194,206,146,124,0,0,0,0,0,0.17,43.71,0,0,0,0,0,0,42,24,25,0.333,0.167,0.5,1,1.889,1,0,0,0,337,0,0,0,571,99,189,460,792,738,353,2531,2,10,14,5,35,6,6075,SanFrancisco,602207,6022,667000,SanFrancisco,11,1,San Francisco,14,5,1
40,1,6,168,457,1409,39.05210643,614,17.01773836,0,5,37,20,10,0,72,1.99556541,2,2,2,1,2,3,4,453,10289,134,111,137,75,0,0,0,0,0,0.21,36.08,0,0,0,0,0,0,5,21,24,0.75,0,0.25,1,2.25,1,0,0,0,287,0,0,0,403,54,84,220,416,442,247,1399,10,10,6,6,36,6,6075,SanFrancisco,602206,6022,667000,SanFrancisco,11,1,San Francisco,6,6,1
41,1,8,166,365,1319,49.4934334,597,22.40150094,9,0,51,23,10,0,93,3.489681051,2,2,1,2,2,3,3,813,9868,79,115,99,72,0,0,0,0,0,0.19,26.65,0,0,0,0,0,0,9,21,24,0.75,0,0.25,1,2.25,1,0,0,0,458,0,0,0,296,69,94,207,424,386,209,1307,12,10,6,5,36,6,6075,SanFrancisco,602206,6022,667000,SanFrancisco,11,1,San Francisco,6,5,1
42,1,6,168,341,1051,35.80919932,457,15.57069847,0,0,12,9,5,0,26,0.885860307,2,2,2,1,2,3,4,453,10289,100,83,102,56,0,0,0,0,0,0.21,29.35,0,0,0,0,0,0,0,21,24,0.75,0,0.25,1,2.25,1,0,0,0,424,0,0,0,301,40,63,164,311,329,184,1043,8,10,6,6,36,6,6075,SanFrancisco,602206,6022,667000,SanFrancisco,11,1,San Francisco,6,6,1
43,1,8,166,474,1710,33.94204049,773,15.34339023,127,0,40,26,21,0,214,4.247717348,2,2,1,2,2,3,3,813,9868,103,149,128,94,0,0,0,0,0,0.19,50.38,0,0,0,0,0,0,127,21,24,0.75,0,0.25,1,2.25,1,0,0,0,636,0,0,0,385,89,122,268,549,500,270,1695,15,10,6,5,36,6,6075,SanFrancisco,602206,6022,667000,SanFrancisco,11,1,San Francisco,6,5,1
44,1,8,151,241,818,23.76525276,369,10.72051133,5,3,8,14,10,0,40,1.162115049,2,3,2,2,1,3,3,97,2035,80,62,49,51,0,0,0,0,0,0.19,34.42,0,0,0,0,0,0,8,24,26,0.333,0.167,0.5,1,1.889,1,0,0,0,398,0,0,0,170,71,43,147,250,250,128,818,0,9,5,5,31,6,6075,SanFrancisco,602207,6022,667000,SanFrancisco,11,1,San Francisco,5,5,1
45,1,8,166,673,2425,52.47781865,1097,23.73945034,17,6,28,39,15,0,105,2.272235447,2,2,1,2,2,3,3,813,9868,146,211,182,134,0,0,0,0,0,0.19,46.21,0,0,0,0,0,0,23,21,24,0.75,0,0.25,1,2.25,1,0,0,0,547,0,0,2425,547,126,173,381,779,709,383,2403,22,10,6,5,36,6,6075,SanFrancisco,602206,6022,667000,SanFrancisco,11,1,San Francisco,6,5,1
46,1,8,165,396,1445,23.52270877,637,10.36952629,125,6,166,21,9,1,328,5.339410711,2,2,2,2,2,3,3,2282,6959,105,103,100,88,0,0,0,0,0,0.23,61.43,0,0,0,0,0,0,132,24,25,0.333,0.167,0.5,1,1.889,1,0,0,0,328,0,861,584,299,97,90,200,441,431,283,1440,5,10,14,5,34,6,6075,SanFrancisco,602206,6022,667000,SanFrancisco,11,1,San Francisco,14,5,1
47,1,8,160,619,2329,49.09359191,1074,22.6391231,47,0,34,21,8,0,110,2.318718381,2,2,2,2,2,3,3,159,4960,155,153,196,115,0,0,0,0,0,0.19,47.44,0,0,0,0,0,0,47,24,25,0.333,0.167,0.5,1,1.889,1,0,0,0,515,0,0,2329,560,59,178,403,723,668,357,2321,8,10,14,5,35,6,6075,SanFrancisco,602207,6022,667000,SanFrancisco,11,1,San Francisco,14,5,1
48,1,8,165,515,1879,48.06855973,828,21.18188795,66,19,63,41,219,3,411,10.514198,2,2,2,2,2,3,3,2282,6959,137,134,130,114,0,0,0,0,0,0.23,39.09,0,0,0,0,0,0,88,24,25,0.333,0.167,0.5,1,1.889,1,0,0,0,500,0,0,0,389,126,117,260,574,560,369,1871,8,10,14,5,34,6,6075,SanFrancisco,602206,6022,667000,SanFrancisco,11,1,San Francisco,14,5,1
49,1,8,152,548,1772,25.89129164,815,11.90824079,105,0,29,37,15,0,186,2.717708942,2,3,2,1,2,3,3,335,4308,123,114,174,136,0,0,0,0,0,0.23,68.44,0,0,0,0,0,0,105,24,26,0.333,0.167,0.5,1,1.889,1,0,0,0,600,0,0,0,516,32,121,287,490,523,350,1742,30,9,5,5,31,6,6075,SanFrancisco,602207,6022,667000,SanFrancisco,11,1,San Francisco,5,5,1
50,1,8,135,799,3098,63.54871795,1314,26.95384615,60,21,44,43,118,3,289,5.928205128,2,2,2,2,2,3,3,569,5929,237,266,163,133,0,0,0,0,0,0.18,48.75,0,0,0,0,0,0,84,24,25,0.333,0.167,0.5,1,1.889,1,0,0,0,641,0,0,0,547,252,218,583,996,840,460,3089,9,10,14,5,35,6,6075,SanFrancisco,602207,6022,667000,SanFrancisco,11,1,San Francisco,14,5,1
51,1,8,151,357,1208,46.67697063,546,21.09737249,6,1,20,25,6,0,58,2.241112828,2,3,2,2,1,3,3,97,2035,118,91,73,75,0,0,0,0,0,0.19,25.88,0,0,0,0,0,0,7,24,26,0.333,0.167,0.5,1,1.889,1,0,0,0,468,0,0,0,252,105,64,217,369,369,189,1208,0,9,5,5,31,6,6075,SanFrancisco,602207,6022,667000,SanFrancisco,11,1,San Francisco,5,5,1
52,1,6,189,709,1683,44.03453689,809,21.16692831,1,0,16,6,5,0,28,0.732600733,2,2,2,2,2,2,4,355,8044,253,189,166,102,0,0,0,0,0,0.2,38.22,0,0,0,0,0,0,1,21,19,0.75,0,0.25,1,2.25,1,0,0,0,653,0,1683,0,162,547,109,202,664,422,285,1683,0,12,7,6,48,6,6075,SanFrancisco,602206,6022,667000,SanFrancisco,11,1,San Francisco,7,6,1
53,1,8,166,508,1830,60.71665561,828,27.47179827,16,17,31,21,71,1,157,5.209024552,2,2,1,2,2,3,3,813,9868,110,160,137,101,0,0,0,0,0,0.19,30.14,0,0,0,0,0,0,34,21,24,0.75,0,0.25,1,2.25,1,0,0,0,372,0,0,0,413,95,130,287,588,535,289,1813,17,10,6,5,36,6,6075,SanFrancisco,602206,6022,667000,SanFrancisco,11,1,San Francisco,6,5,1
54,1,8,166,276,993,44.11372723,449,19.94669036,66,46,45,25,44,0,226,10.03998223,2,2,1,2,2,3,3,813,9868,60,87,75,55,0,0,0,0,0,0.19,22.51,0,0,0,0,0,0,112,21,24,0.75,0,0.25,1,2.25,1,0,0,0,317,0,0,993,224,52,71,156,319,291,157,985,8,10,6,5,36,6,6075,SanFrancisco,602206,6022,667000,SanFrancisco,11,1,San Francisco,6,5,1
55,1,8,134,433,1488,43.15545244,662,19.19953596,3,3,22,56,11,1,96,2.784222738,2,3,3,2,2,3,3,1051,8564,120,106,125,82,0,0,0,0,0,0.2,34.48,0,0,0,0,0,0,7,24,25,0.333,0.167,0.5,1,1.889,1,0,0,0,772,0,0,0,366,67,100,224,459,455,250,1480,8,10,14,5,34,6,6075,SanFrancisco,602206,6022,667000,SanFrancisco,11,1,San Francisco,14,5,1
56,1,8,134,313,1071,47.64234875,478,21.2633452,40,29,56,23,52,5,205,9.119217082,2,3,3,2,2,3,3,1051,8564,87,77,90,60,0,0,0,0,0,0.2,22.48,0,0,0,0,0,0,74,24,25,0.333,0.167,0.5,1,1.889,1,0,0,0,591,0,0,0,264,49,72,161,331,327,180,1066,5,10,14,5,34,6,6075,SanFrancisco,602206,6022,667000,SanFrancisco,11,1,San Francisco,14,5,1
57,1,8,138,390,1436,45.04391468,623,19.54203262,34,42,39,48,87,5,255,7.998745295,2,3,2,2,1,3,3,1622,9562,126,100,106,57,0,0,0,0,0,0.2,31.88,0,0,0,0,0,0,81,24,26,0.333,0.167,0.5,1,1.889,1,0,0,0,583,0,0,0,320,70,110,243,435,403,246,1433,3,9,5,5,30,6,6075,SanFrancisco,602207,6022,667000,SanFrancisco,11,1,San Francisco,5,5,1
58,1,8,135,781,3030,58.3927539,1284,24.74465215,86,20,45,37,111,1,300,5.781460782,2,2,2,2,2,3,3,569,5929,232,260,159,130,0,0,0,0,0,0.18,51.89,0,0,0,0,0,0,107,24,25,0.333,0.167,0.5,1,1.889,1,0,0,0,615,0,0,3030,535,246,214,570,975,822,450,3021,9,10,14,5,35,6,6075,SanFrancisco,602207,6022,667000,SanFrancisco,11,1,San Francisco,14,5,1
59,1,6,169,422,1186,14.73841183,595,7.394059898,13,2,48,23,48,0,134,1.665216851,2,3,2,2,3,3,4,1768,7132,71,43,86,222,0,0,0,0,0,0.25,80.47,0,0,0,0,0,0,15,21,19,0.75,0,0.25,1,2.25,1,0,0,0,281,0,0,0,391,31,66,189,256,426,250,1185,1,10,7,6,36,6,6075,SanFrancisco,602206,6022,667000,SanFrancisco,11,1,San Francisco,7,6,1
60,1,8,137,326,1183,41.56711174,546,19.1848208,14,0,11,15,6,0,46,1.616303584,2,3,3,2,1,3,3,334,5679,81,63,94,88,0,0,0,0,0,0.21,28.46,0,0,0,0,0,0,14,24,26,0.333,0.167,0.5,1,1.889,1,0,0,0,638,0,0,0,310,16,79,191,355,354,205,1178,5,9,5,5,30,6,6075,SanFrancisco,602207,6022,667000,SanFrancisco,11,1,San Francisco,5,5,1
61,1,8,136,589,2226,45.35452323,901,18.35778321,3,1,15,80,14,0,113,2.302363488,2,2,2,2,2,3,3,460,3187,162,165,128,134,0,0,0,0,0,0.31,49.08,0,0,0,0,0,0,4,24,25,0.333,0.167,0.5,1,1.889,1,0,0,0,539,0,0,0,572,17,147,302,592,568,617,1936,290,10,14,5,35,6,6075,SanFrancisco,602207,6022,667000,SanFrancisco,11,1,San Francisco,14,5,1
