SFTAZ,COUNTY,DISTRICT,MTCTAZ,HHLDS,POP,POPD,EMPRES,EMPRESD,CIE,MED,MIPS,PDR,RETAIL,VISITOR,TOTALEMP,EMPD,NETCON,CROSSING,SAFETY,VITALITY,TOPOLOGY,AREATYPE,SUPERDST,MTCEMP,MTCPOP,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,AVGINCQ1,AVGINCQ2,AVGINCQ3,AVGINCQ4,AVGHHINC,SHPOP62P,TOTACRE,RETEMP,SEREMP,OTHEMP,AGREMP,MFGEMP,TRDEMP,SERVICE,PKDISTNO,PKDIST,FREEPARK,SUBPARK,PAIDPARK,PPAYING,PRKAVIND,ONSTREET,OFSTREET,PRKCSTWH,PRKCSTOH,TOTPARK,COLLENROLL,HIGHENROLL,GRADENROLL,SFDU,MFDU,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,HHPOP,GQPOP,DIST15,DIST22,DIST40,DIST51,STATE,CNTY_ID,CNTY_NAM,PUMA,POWPUMA,PLACE_ID,PLACE_NAM,DIST_PLC_1,DIST_PLC_2,DIST_PLC_N,DIST22NAME,DIST40NAME,DISTPLC2_S
627,1,1,20,435,787,59.62121212,270,20.45454545,90,21,86,68,38,5,308,23.33333333,2,2,2,2,3,1,1,9194,3872,282,69,38,47,0,0,0,0,0,0.41,13.2,0,0,0,0,0,0,116,22,10,0.25,0.05,0.7,0.201,2.667,0.938,0.062,0.597,1.64,81,0,0,0,21,414,18,41,230,196,303,724,63,2,3,1,6,6,6075,SanFrancisco,602203,6022,667000,SanFrancisco,11,1,San Francisco,3,1,1
628,1,1,21,520,897,67.85173979,323,24.43267776,2,0,56,92,146,2,298,22.54160363,2,2,2,2,3,1,1,10889,4614,337,82,45,56,0,0,0,0,0,0.41,13.22,0,0,0,0,0,0,4,22,10,0.25,0.05,0.7,0.201,2.667,0.778,0.222,0.859,2.478,451,0,0,0,25,495,20,47,262,223,345,864,33,2,3,1,6,6,6075,SanFrancisco,602203,6022,667000,SanFrancisco,11,1,San Francisco,3,1,1
629,1,1,20,144,264,20.04555809,90,6.833712984,12,71,76,213,52,2,426,32.34624146,2,2,2,2,3,1,1,9194,3872,93,23,13,15,0,0,0,0,0,0.41,13.17,0,0,0,0,0,0,85,22,10,0.25,0.05,0.7,0.201,2.667,0.901,0.1,0.565,1.544,402,0,0,0,7,137,6,14,77,66,102,239,25,2,3,1,6,6,6075,SanFrancisco,602203,6022,667000,SanFrancisco,11,1,San Francisco,3,1,1
630,1,1,20,160,289,21.89393939,99,7.5,113,19,86,338,161,4,721,54.62121212,2,2,2,2,3,1,1,9194,3872,104,25,14,17,0,0,0,0,0,0.41,13.2,0,0,0,0,0,0,136,22,10,0.25,0.05,0.7,0.201,2.667,1,0,0.582,1.596,388,0,0,289,8,152,6,15,84,72,111,265,24,2,3,1,6,6,6075,SanFrancisco,602203,6022,667000,SanFrancisco,11,1,San Francisco,3,1,1
631,1,1,21,376,647,49.01515152,234,17.72727273,6,0,42,126,46,3,223,16.89393939,2,2,2,2,3,1,1,10889,4614,244,60,33,40,0,0,0,0,0,0.41,13.2,0,0,0,0,0,0,9,22,10,0.25,0.05,0.7,0.201,2.667,0.934,0.066,0.817,2.353,286,0,0,0,18,358,14,34,189,161,249,625,22,2,3,1,6,6,6075,SanFrancisco,602203,6022,667000,SanFrancisco,11,1,San Francisco,3,1,1
632,1,9,109,238,443,31.68812589,39,2.789699571,583,688,2620,126,431,59,4507,322.3891273,1,2,2,1,2,2,3,5741,7736,126,60,7,45,0,0,0,0,0,0.18,13.98,0,0,0,0,0,0,1330,22,14,0.25,0.05,0.7,0.201,2.667,1,0,0.794,1.88,230,0,0,0,1,237,15,41,198,123,66,437,6,2,4,3,5,6,6075,SanFrancisco,602203,6022,667000,SanFrancisco,11,1,San Francisco,4,3,1
633,1,9,109,295,545,54.82897384,49,4.929577465,19,16,29,26,219,3,312,31.38832998,1,2,2,1,2,2,3,5741,7736,156,75,8,56,0,0,0,0,0,0.18,9.94,0,0,0,0,0,0,38,22,14,0.25,0.05,0.7,0.201,2.667,1,0,0.433,0.799,163,0,0,0,1,294,18,51,243,152,81,541,4,2,4,3,5,6,6075,SanFrancisco,602203,6022,667000,SanFrancisco,11,1,San Francisco,4,3,1
634,1,4,63,288,681,45.3697535,403,26.84876749,0,18,54,30,96,2,200,13.32445037,2,2,3,2,2,2,2,740,5192,70,72,76,70,0,0,0,0,0,0.22,15.01,0,0,0,0,0,0,20,18,6,0.333,0,0.667,0.2,2,1,0,0,0,129,0,0,0,94,194,36,74,236,208,127,681,0,8,9,4,26,6,6075,SanFrancisco,602201,6022,667000,SanFrancisco,11,1,San Francisco,9,4,1
635,1,4,63,339,802,44.6051168,476,26.47385984,4,43,71,31,89,0,238,13.23692992,2,2,3,2,2,2,2,740,5192,83,85,89,82,0,0,0,0,0,0.22,17.98,0,0,0,0,0,0,47,18,6,0.333,0,0.667,0.2,2,1,0,0,0,155,0,0,0,111,228,42,88,278,245,150,802,0,8,9,4,26,6,6075,SanFrancisco,602201,6022,667000,SanFrancisco,11,1,San Francisco,9,4,1
636,1,4,67,579,1349,66.65019763,799,39.47628458,17,3,45,5,64,1,135,6.669960474,2,2,3,2,3,2,2,1232,5049,172,153,116,138,0,0,0,0,0,0.19,20.24,0,0,0,0,0,0,21,18,6,0.333,0,0.667,0.2,2,1,0,0,0,128,0,0,0,121,458,64,149,545,382,209,1348,1,8,9,4,26,6,6075,SanFrancisco,602201,6022,667000,SanFrancisco,11,1,San Francisco,9,4,1
